Market Category,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Crossover,Mazda,CX-7,2010,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,28,20,586,22490
Crossover,Mazda,CX-7,2011,premium unleaded (recommended),244,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,21,17,586,33340
Crossover,Mazda,CX-7,2011,premium unleaded (recommended),244,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,24,18,586,31640
Crossover,Mazda,CX-7,2011,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,28,20,586,21990
Crossover,Mazda,CX-7,2011,premium unleaded (recommended),244,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,21,17,586,27955
Crossover,Mazda,CX-7,2011,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,28,20,586,22795
Crossover,Mazda,CX-7,2011,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,28,20,586,26390
Crossover,Mazda,CX-7,2011,premium unleaded (recommended),244,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,24,18,586,26255
Crossover,Mazda,CX-7,2012,premium unleaded (recommended),244,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,24,18,586,26455
Crossover,Mazda,CX-7,2012,premium unleaded (recommended),244,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,24,18,586,31840
Crossover,Mazda,CX-7,2012,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,27,20,586,26590
Crossover,Mazda,CX-7,2012,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,27,20,586,22995
Crossover,Mazda,CX-7,2012,premium unleaded (recommended),244,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,21,17,586,28155
Crossover,Mazda,CX-7,2012,premium unleaded (recommended),244,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,21,17,586,33540
Crossover,Mazda,CX-7,2012,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,27,20,586,22190
Crossover,Mazda,CX-9,2014,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,586,31575
Crossover,Mazda,CX-9,2014,regular unleaded,273,6,AUTOMATIC,front wheel drive,4,Large,4dr SUV,24,17,586,29985
Crossover,Mazda,CX-9,2014,regular unleaded,273,6,AUTOMATIC,front wheel drive,4,Large,4dr SUV,24,17,586,32480
"Crossover,Performance",Mazda,CX-9,2014,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,586,36625
"Crossover,Performance",Mazda,CX-9,2014,regular unleaded,273,6,AUTOMATIC,front wheel drive,4,Large,4dr SUV,24,17,586,35035
Crossover,Mazda,CX-9,2014,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,586,34070
"Crossover,Performance",Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,front wheel drive,4,Large,4dr SUV,24,17,586,35035
"Crossover,Performance",Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,586,36625
Crossover,Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,586,31575
Crossover,Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,586,34070
Crossover,Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,front wheel drive,4,Large,4dr SUV,24,17,586,32480
Crossover,Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,front wheel drive,4,Large,4dr SUV,24,17,586,29985
Crossover,Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,front wheel drive,4,Large,4dr SUV,28,22,586,35970
Crossover,Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,all wheel drive,4,Large,4dr SUV,27,21,586,33320
Crossover,Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,all wheel drive,4,Large,4dr SUV,27,21,586,41970
Crossover,Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,front wheel drive,4,Large,4dr SUV,28,22,586,40170
Crossover,Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,front wheel drive,4,Large,4dr SUV,28,22,586,31520
Crossover,Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,all wheel drive,4,Large,4dr SUV,27,21,586,44015
Crossover,Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,all wheel drive,4,Large,4dr SUV,27,21,586,37770
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,20,15,1851,26170
"Exotic,Luxury",Dodge,Dakota,2008,regular unleaded,302,8,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,19,14,1851,27780
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,20,15,1851,22030
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,27625
"Crossover,Performance",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,four wheel drive,4,Compact,Extended Cab Pickup,19,15,1851,25245
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,26280
"Crossover,Performance",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,four wheel drive,4,Compact,Extended Cab Pickup,19,15,1851,24720
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,30155
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,30780
Hatchback,Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,Compact,Crew Cab Pickup,20,16,1851,23640
"Factory Tuner,Luxury",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,Compact,Extended Cab Pickup,20,16,1851,25395
"Crossover,Performance",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,four wheel drive,4,Compact,Extended Cab Pickup,19,15,1851,28580
"Crossover,Hatchback,Performance",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,four wheel drive,4,Compact,Crew Cab Pickup,19,15,1851,26590
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,24010
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,30510
"Crossover,Hatchback,Performance",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,four wheel drive,4,Compact,Crew Cab Pickup,19,15,1851,26120
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,26920
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,26540
"Crossover,Luxury,Performance",Dodge,Dakota,2008,regular unleaded,302,8,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,32135
"Crossover,Performance",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,four wheel drive,4,Compact,Extended Cab Pickup,19,15,1851,27935
Hatchback,Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,Compact,Crew Cab Pickup,20,16,1851,22505
"Factory Tuner,Luxury",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,Compact,Extended Cab Pickup,20,16,1851,24985
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,26935
"Crossover,Luxury,Hybrid",Dodge,Dakota,2008,regular unleaded,302,8,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,19,14,1851,30760
"Exotic,Luxury",Dodge,Dakota,2008,regular unleaded,302,8,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,19,14,1851,28520
Flex Fuel,Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,29095
"Factory Tuner,Luxury",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,Compact,Extended Cab Pickup,20,16,1851,20470
"Factory Tuner,Luxury",Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,Compact,Extended Cab Pickup,20,16,1851,20995
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,28630
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,31630
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,20,15,1851,23710
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,MANUAL,rear wheel drive,4,Compact,Crew Cab Pickup,20,16,1851,25260
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,29355
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,31045
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,27960
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,30155
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,MANUAL,four wheel drive,4,Compact,Crew Cab Pickup,19,15,1851,28210
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,26405
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,29985
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,26810
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,20,15,1851,27315
Flex Fuel,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,20,15,1851,22560
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,26325
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,27880
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,25305
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,28255
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,20,15,1851,23630
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Extended Cab Pickup,18,14,1851,27005
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,29275
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Extended Cab Pickup,20,15,1851,22755
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,18,14,1851,33180
Flex Fuel,Dodge,Dakota,2010,flex-fuel (unleaded/E85),302,8,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,19,14,1851,31365
Flex Fuel,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Compact,Crew Cab Pickup,20,15,1851,30180
"Luxury,Performance,Hybrid",Dodge,Dart,2014,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,36,25,1851,16495
"Luxury,Performance,Hybrid",Dodge,Dart,2014,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,35,22,1851,18595
"Hatchback,Factory Tuner,High-Performance",Dodge,Dart,2014,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,35,23,1851,22995
Performance,Dodge,Dart,2014,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,41,28,1851,19995
"Luxury,Performance,Hybrid",Dodge,Dart,2014,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,33,23,1851,20995
"Luxury,Performance,Hybrid",Dodge,Dart,2015,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,33,23,1851,21645
"Luxury,Performance,Hybrid",Dodge,Dart,2015,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,35,22,1851,19000
Performance,Dodge,Dart,2015,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,41,28,1851,20495
Luxury,Dodge,Dart,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,35,23,1851,23795
"Luxury,Performance,Hybrid",Dodge,Dart,2015,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,36,25,1851,16495
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,39,27,1851,19495
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,36,25,1851,18995
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,35,22,1851,19395
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,36,25,1851,17995
Luxury,Dodge,Dart,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,35,23,1851,24395
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,36,25,1851,19595
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,36,25,1851,16995
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Sedan,39,27,1851,21095
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,35,22,1851,22095
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,35,22,1851,20995
"Luxury,Performance,Hybrid",Dodge,Dart,2016,regular unleaded,184,4,MANUAL,front wheel drive,4,Midsize,Sedan,35,22,1851,21595
"Exotic,Luxury,High-Performance",Rolls-Royce,Dawn,2016,premium unleaded (required),563,12,AUTOMATIC,rear wheel drive,2,Large,Convertible,19,12,86,335000
"Hatchback,Factory Tuner,Performance",Dodge,Daytona,1991,regular unleaded,152,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,24,18,1851,2000
"Hatchback,Performance",Dodge,Daytona,1991,regular unleaded,152,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,24,18,1851,2000
Hatchback,Dodge,Daytona,1991,regular unleaded,100,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,31,21,1851,2000
Hatchback,Dodge,Daytona,1991,regular unleaded,141,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,25,17,1851,2000
"Hatchback,Factory Tuner,Performance",Dodge,Daytona,1992,regular unleaded,224,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,24,17,1851,2000
Hatchback,Dodge,Daytona,1992,regular unleaded,141,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,26,17,1851,2000
Hatchback,Dodge,Daytona,1992,regular unleaded,100,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,29,20,1851,2000
Hatchback,Dodge,Daytona,1993,regular unleaded,100,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,29,22,1851,2000
Hatchback,Dodge,Daytona,1993,regular unleaded,141,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,25,17,1851,2000
"Hatchback,Factory Tuner,Performance",Dodge,Daytona,1993,regular unleaded,224,4,MANUAL,front wheel drive,2,Compact,2dr Hatchback,24,17,1851,2000
"Exotic,Factory Tuner,High-Performance",Aston Martin,DB7,2003,premium unleaded (required),420,12,AUTOMATIC,rear wheel drive,2,Compact,Coupe,18,11,259,156300
"Exotic,High-Performance",Aston Martin,DB7,2003,premium unleaded (required),420,12,MANUAL,rear wheel drive,2,Compact,Convertible,17,10,259,151800
"Exotic,Factory Tuner,High-Performance",Aston Martin,DB7,2003,premium unleaded (required),435,12,MANUAL,rear wheel drive,2,Compact,Coupe,15,9,259,156300
"Exotic,High-Performance",Aston Martin,DB7,2003,premium unleaded (required),420,12,MANUAL,rear wheel drive,2,Compact,Coupe,17,10,259,141800
"Exotic,High-Performance",Aston Martin,DB9 GT,2016,premium unleaded (required),540,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,235307
"Exotic,High-Performance",Aston Martin,DB9 GT,2016,premium unleaded (required),540,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,19,13,259,213250
"Exotic,High-Performance",Aston Martin,DB9 GT,2016,premium unleaded (required),540,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,198250
"Exotic,High-Performance",Aston Martin,DB9,2013,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,19,13,259,198700
"Exotic,High-Performance",Aston Martin,DB9,2013,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,183700
"Exotic,High-Performance",Aston Martin,DB9,2014,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,19,13,259,200800
"Exotic,High-Performance",Aston Martin,DB9,2014,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,185800
"Exotic,High-Performance",Aston Martin,DB9,2015,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,198295
"Exotic,High-Performance",Aston Martin,DB9,2015,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,188295
"Exotic,High-Performance",Aston Martin,DB9,2015,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,19,13,259,203295
"Exotic,High-Performance",Aston Martin,DB9,2015,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,19,13,259,213295
"Exotic,High-Performance",Aston Martin,DBS,2010,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,18,12,259,283900
"Exotic,High-Performance",Aston Martin,DBS,2010,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Convertible,17,11,259,279500
"Exotic,High-Performance",Aston Martin,DBS,2010,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,18,12,259,270400
"Exotic,High-Performance",Aston Martin,DBS,2010,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Coupe,17,11,259,266000
"Exotic,Factory Tuner,High-Performance",Aston Martin,DBS,2011,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Convertible,17,11,259,282295
"Exotic,Factory Tuner,High-Performance",Aston Martin,DBS,2011,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Coupe,17,11,259,268660
"Exotic,Factory Tuner,High-Performance",Aston Martin,DBS,2011,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,18,12,259,273104
"Exotic,Factory Tuner,High-Performance",Aston Martin,DBS,2011,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,18,12,259,286739
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Convertible,17,11,259,295987
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,18,12,259,275861
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Coupe,17,11,259,284576
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,18,12,259,296387
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Convertible,17,11,259,290461
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,18,12,259,284976
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,18,12,259,290861
"Exotic,High-Performance",Aston Martin,DBS,2012,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Coupe,17,11,259,275461
Luxury,Land Rover,Defender,1994,regular unleaded,182,8,MANUAL,four wheel drive,2,Compact,2dr SUV,15,12,258,27736
Luxury,Land Rover,Defender,1995,regular unleaded,182,8,MANUAL,four wheel drive,2,Compact,2dr SUV,15,12,258,30709
Luxury,Land Rover,Defender,1997,regular unleaded,182,8,AUTOMATIC,four wheel drive,2,Compact,Convertible SUV,14,12,258,36931
Luxury,Land Rover,Defender,1997,regular unleaded,182,8,AUTOMATIC,four wheel drive,2,Compact,2dr SUV,14,12,258,39669
Luxury,Cadillac,DeVille,2003,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1624,49150
"Luxury,Performance",Cadillac,DeVille,2003,regular unleaded,300,8,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1624,49150
Luxury,Cadillac,DeVille,2003,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1624,44400
"Luxury,Performance",Cadillac,DeVille,2004,regular unleaded,300,8,AUTOMATIC,front wheel drive,4,Large,Sedan,24,16,1624,50750
Luxury,Cadillac,DeVille,2004,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,24,16,1624,50750
Luxury,Cadillac,DeVille,2004,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,24,16,1624,45600
Luxury,Cadillac,DeVille,2005,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,22,15,1624,51600
Luxury,Cadillac,DeVille,2005,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,22,15,1624,46430
Luxury,Cadillac,DeVille,2005,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,22,15,1624,46045
"Luxury,Performance",Cadillac,DeVille,2005,regular unleaded,290,8,AUTOMATIC,front wheel drive,4,Large,Sedan,24,16,1624,51600
"Exotic,High-Performance",Lamborghini,Diablo,2001,premium unleaded (required),550,12,MANUAL,all wheel drive,2,Compact,Coupe,12,9,1158,294900
"Luxury,Hybrid",Mitsubishi,Diamante,2002,premium unleaded (required),205,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,16,436,28447
"Luxury,Hybrid",Mitsubishi,Diamante,2002,premium unleaded (required),210,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,16,436,26997
"Luxury,Hybrid",Mitsubishi,Diamante,2002,premium unleaded (required),205,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,16,436,25687
"Luxury,Hybrid",Mitsubishi,Diamante,2003,premium unleaded (required),205,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,16,436,25997
"Luxury,Hybrid",Mitsubishi,Diamante,2003,premium unleaded (required),205,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,16,436,28447
"Luxury,Hybrid",Mitsubishi,Diamante,2003,premium unleaded (required),210,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,16,436,27097
"Luxury,Hybrid",Mitsubishi,Diamante,2004,premium unleaded (required),205,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,15,436,24999
"Luxury,Hybrid",Mitsubishi,Diamante,2004,premium unleaded (required),210,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,15,436,26819
"Luxury,Hybrid",Mitsubishi,Diamante,2004,premium unleaded (required),205,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,23,15,436,27619
Luxury,Land Rover,Discovery Series II,2000,regular unleaded,188,8,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,16,12,258,2561
Luxury,Land Rover,Discovery Series II,2001,premium unleaded (required),188,8,AUTOMATIC,four wheel drive,4,Midsize,4dr SUV,16,12,258,36350
Luxury,Land Rover,Discovery Series II,2001,premium unleaded (required),188,8,AUTOMATIC,four wheel drive,4,Midsize,4dr SUV,16,12,258,33350
Luxury,Land Rover,Discovery Series II,2001,premium unleaded (required),188,8,AUTOMATIC,four wheel drive,4,Midsize,4dr SUV,16,12,258,34350
Luxury,Land Rover,Discovery Series II,2002,premium unleaded (required),188,8,AUTOMATIC,four wheel drive,4,Midsize,4dr SUV,16,12,258,33350
Luxury,Land Rover,Discovery Series II,2002,premium unleaded (required),188,8,AUTOMATIC,four wheel drive,4,Midsize,4dr SUV,16,12,258,37150
"Crossover,Luxury",Land Rover,Discovery Sport,2015,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,20,258,37070
"Crossover,Luxury",Land Rover,Discovery Sport,2015,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,20,258,45570
"Crossover,Luxury",Land Rover,Discovery Sport,2015,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,20,258,41570
"Crossover,Luxury",Land Rover,Discovery Sport,2016,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,20,258,41955
"Crossover,Luxury",Land Rover,Discovery Sport,2016,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,20,258,45955
"Crossover,Luxury",Land Rover,Discovery Sport,2016,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,20,258,37455
"Crossover,Luxury",Land Rover,Discovery Sport,2017,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,25,20,258,46595
